Operation,attributeLabel,administrationName,attributeCode,inputType,dataType,isOption,isProperty,values,SearchableInStorefront,productTypeName,supportedUsageTypes,productCode,parentProductCode,productName,UPC,productShortDescription,productFullDescription,localeCode,isActive,price,salePrice,isoCurrencyCode,productUsage,masterCatalogId,catalogId,categoryId,manageStock,outOfStockBehavior,sizeoption,coloroptions,cost,packageWidth,packageLength,packageHeight,packageWeight,heightUnit,widthUnit,lengthUnit,weightUnit,hasConfigurableOptions,hasStandAloneOptions,fulfillmentTypes,rating,giftwrap,seoUrl,metaTitle,metaDescription,publishedState
create,Size1|Color1,Size1|Color1,sizeoption|coloroptions,List,String,TRUE,FALSE,"L,M,S|Red,Green,Blue",TRUE,Stationary,Configurable,PC_005,,Rubber1,RUBBER,Useful Short Product,UsefulLong Description,en-US,TRUE,100,100,USD,Configurable,2,3,23,TRUE,AllowBackOrder,,,,1,1,1,1,in,in,in,lbs,TRUE,TRUE,DirectShip|InStorePickup|Delivery,4.5,yes,Rubber-elastic,RUBBER,Rubber-elastic,Live
create,,,,,,,,,,,,PC_005-1,PC_005,Rubber1-L-BLACK,,,,en-US,TRUE,0,0,USD,Configurable,2,3,23,TRUE,AllowBackOrder,L,Blue,100,1,1,1,1,in,in,in,lbs,FALSE,FALSE,DirectShip|InStorePickup|Delivery,,,,,,
create,,,,,,,,,,,,PC_005-2,PC_005,Rubber1-M-BLACK,,,,en-US,TRUE,0,0,USD,Configurable,2,3,23,TRUE,AllowBackOrder,M,Blue,100,1,1,1,1,in,in,in,lbs,FALSE,FALSE,DirectShip|InStorePickup|Delivery,,,,,,
create,,,,,,,,,,,,PC_005-3,PC_005,Rubber1-S-BLACK,,,,en-US,TRUE,0,0,USD,Configurable,2,3,23,TRUE,AllowBackOrder,S,Blue,100,1,1,1,1,in,in,in,lbs,FALSE,FALSE,DirectShip|InStorePickup|Delivery,,,,,,
create,,,,,,,,,,,,PC_005-4,PC_005,Rubber1-L-GREEN,,,,en-US,TRUE,0,0,USD,Configurable,2,3,23,TRUE,AllowBackOrder,L,Green,100,1,1,1,1,in,in,in,lbs,FALSE,FALSE,DirectShip|InStorePickup|Delivery,,,,,,
create,,,,,,,,,,,,PC_005-5,PC_005,Rubber1-M-GREEN,,,,en-US,TRUE,0,0,USD,Configurable,2,3,23,TRUE,AllowBackOrder,M,Green,100,1,1,1,1,in,in,in,lbs,FALSE,FALSE,DirectShip|InStorePickup|Delivery,,,,,,
create,,,,,,,,,,,,PC_005-6,PC_005,Rubber1-S-GREEN,,,,en-US,TRUE,0,0,USD,Configurable,2,3,23,TRUE,AllowBackOrder,S,Green,100,1,1,1,1,in,in,in,lbs,FALSE,FALSE,DirectShip|InStorePickup|Delivery,,,,,,
create,,,,,,,,,,,,PC_005-7,PC_005,Rubber1-L-RED,,,,en-US,TRUE,0,0,USD,Configurable,2,3,23,TRUE,AllowBackOrder,L,Red,100,1,1,1,1,in,in,in,lbs,FALSE,FALSE,DirectShip|InStorePickup|Delivery,,,,,,
create,,,,,,,,,,,,PC_005-8,PC_005,Rubber1-M-RED,,,,en-US,TRUE,0,0,USD,Configurable,2,3,23,TRUE,AllowBackOrder,M,Red,100,1,1,1,1,in,in,in,lbs,FALSE,FALSE,DirectShip|InStorePickup|Delivery,,,,,,
create,,,,,,,,,,,,PC_005-9,PC_005,Rubber1-S-RED,,,,en-US,TRUE,0,0,USD,Configurable,2,3,23,TRUE,AllowBackOrder,S,Red,100,1,1,1,1,in,in,in,lbs,FALSE,FALSE,DirectShip|InStorePickup|Delivery,,,,,,
create,,,,,,,,,,Stationary,Standard,PS_004,,Pen-Pencil,Pen_Pencil,,,en-US,TRUE,100,100,USD,Standard,2,3,23,TRUE,AllowBackOrder,,,,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup|Delivery,4.5,yes,,,,Live
create,,,,,,,,,,Stationary,Standard,PS_010,,Pen-Pencil,Pen_Pencil,,,en-US,TRUE,100,100,USD,Standard,2,3,23,TRUE,AllowBackOrder,,,,1,1,1,1,in,in,in,lbs,FALSE,TRUE,DirectShip|InStorePickup|Delivery,4.5,yes,,,,Live
